Route_ID,Distance_Meters,Duration_Seconds,Duration_Minutes,Latitude,Longitude,LatLong
ay1DyyX7jXZX4Rs7KmgEM1hxQzBothmyBJ8dYcWwAmQgZ6t930Sn5w==,13572.144,1732.801,29.0,37.738345,-122.468176,"37.738345,-122.468176"
fs9nOeq9oqugrjY0e8-WHAbA3eKsvJGLQWL2zer3slP4hllf7kA0mA==,4388.536,1188.479,20.0,37.760192883932795,-122.4114188698492,"37.760192883932795,-122.4114188698492"
nxwQX8-J8eA78uiATGzGW20W_fMgtL1z6Gd67x_joSqN7qFligV_Nw==,4216.401,1066.824,18.0,37.76408650404102,-122.4325853855326,"37.76408650404102,-122.4325853855326"
PLzEoUCzNakoJ9T5ZXHlOvH9LxlOde843v634JXBTydYPn1xplnA-A==,4312.036,1080.215,18.0,37.764836,-122.431808,"37.764836,-122.431808"
z-q1RHl2mj2u1c4FHzN8v74Nr6LdnbDNIBl6XysOnJgBhXwhHGzFjg==,1831.406,641.268,11.0,37.801752,-122.411851,"37.801752,-122.411851"
YqrMMsaZjUTdCmP1diyxyM1-LK-VMMpde1-M6LHI1DHLz8nlk-cYHA==,1408.084,423.594,7.0,37.7793175,-122.4105235,"37.7793175,-122.4105235"
hRAlHuQsYcvXIq7JGVmyeyuNC-SAsKG9OCD2XsVL6MI2suuVxMU3NA==,2672.591,718.041,12.0,37.77637,-122.42155,"37.77637,-122.42155"
ewqp7RTbzPqg36ZsiLZRoeII5PKIBxR3vXz8FQ9nA8S3UmQWDRcmPg==,8456.257,1604.357,27.0,37.76373,-122.478392,"37.76373,-122.478392"
vOvbtbQe5mNeJDyUh1483ARRh6oElte6YTMT7Jzf2xgw8F2pdcajjw==,5046.244,1115.538,19.0,37.769875829479275,-122.44630091984536,"37.769875829479275,-122.44630091984536"
ZJpmNkI1VnP-uX1y6-4zdZkm-WXsVGfkeUbJtMW_eY4kd9Pqosod-Q==,2329.946,642.478,11.0,37.7994,-122.41888,"37.7994,-122.41888"
8wXjqoGr2K4bSuJTqVzrxJpYMWzSr2YWG8Y0TCviqjypmJCoDkwrYw==,4024.27,974.948,16.0,37.76317,-122.41539,"37.76317,-122.41539"
b7ZjGZ1jBVvTiiUl-sOGUU2OuGJQDMaNPW_f9xwGu4mqWoPK5dvWGg==,2157.372,601.774,10.0,37.7981712,-122.4186984,"37.7981712,-122.4186984"
P9GhnKMZ9hjPnJTU4ibgymZGYFpmRxusnksDIyYdSm6emIyt-aUZRw==,4176.136,925.404,15.0,37.79948,-122.43681,"37.79948,-122.43681"
CbgdUsGzUlBCPCqTWA4vxrhAqJjBN20nsRyMH3D_2Wdp6uBtUeG6vQ==,3339.454,786.388,13.0,37.79742,-122.43097,"37.79742,-122.43097"
wlxyVW1B3oPvigFkmiwTe5sahJwRSZdSzv4E5UgL5kuf-53r4G5KVg==,5634.883,950.097,16.0,37.7580376,-122.3890908,"37.7580376,-122.3890908"
7HKlnNeSolth2Xm4E2TLRPKaCq3wDbVaxItXwyMlzZFY5ATbehPziA==,4969.118,1046.827,17.0,37.798332,-122.446101,"37.798332,-122.446101"
V1bJY8Dtth644PvMse7pQcLC3L3rdXrlhWjapagxytBzvYno6fMQ7A==,4557.112,984.315,16.0,37.79989,-122.4408,"37.79989,-122.4408"
MyLbK49tZ9D5prl6ebMrJ31iRenK8WdIVIB85w3nL2PGLowLFBstFA==,3914.154,1045.481,17.0,37.771842,-122.433369,"37.771842,-122.433369"
c0MfSUA7ul882ZQQVUQEEvnCOyr2eXlAkJJ6NUgiWCRJXha0nNeK_g==,4400.834,1122.563,19.0,37.762866,-122.432244,"37.762866,-122.432244"
tZcj09KaK-T1PG4aZjaOegQLp1hRc8qw9PDvk4j6w4hDKcMsRRBKZw==,3862.947,913.753,15.0,37.775757,-122.438301,"37.775757,-122.438301"
simxdBGLaL31IWTnQh8g9nPpLIKQNLNsmAl25LO6tysxCaekwpbbxg==,4009.314,988.015,16.0,37.774382,-122.437986,"37.774382,-122.437986"
_Q8zanl90X975LDdnN5PTXGkZp9s1eggADJRnii1UrKujLq1thn_5w==,3168.87,849.649,14.0,37.7750678,-122.4031672,"37.7750678,-122.4031672"
iExBkJiy-ixVNtk88jR5e-1qF42h76xdFCvLb1jdzbiKibvIuYIwow==,7088.931,1396.591,23.0,37.76406989831434,-122.46342441895987,"37.76406989831434,-122.46342441895987"
2ocMdkgRjZtxFtTsi5ONNohBFm0WfqEkoBPiLBtQf3Kkc3me447Ljw==,2236.205,723.225,12.0,37.77826,-122.39388,"37.77826,-122.39388"
ImYmE7H-hO6TKplpcAV9PWlCfnoXcSx5zPpF7k7RS5EfUZhEwh25ZA==,4393.578,1189.573,20.0,37.75961276313876,-122.4102472,"37.75961276313876,-122.4102472"
_Bd2RYXhSkO_SkSckWeZb76VcYB7APw7jmPRVjI5kWRF4cPlaLzqJA==,2354.824,619.76,10.0,37.78406,-122.43256,"37.78406,-122.43256"
P9Ke5p-vs4iunLGV726QZtFM2_i618sG-6amN1fjc0g6_0toXHrDRQ==,8295.133,1558.112,26.0,37.77600463025901,-122.49563498834335,"37.77600463025901,-122.49563498834335"
Mi0wpsCuj9WAJthX_2WUIkXsDeF5B3YEfMdglDlw5Lw4uiTI6pTCEw==,5626.799,1059.864,18.0,37.78291543753223,-122.4682742,"37.78291543753223,-122.4682742"
nPaY6fY1wy9TNQrvABeajgz_mgOeGEZufJItsw9XgMDP0aoHlPPxTg==,6845.063,1297.635,22.0,37.78219994794561,-122.48209291576292,"37.78219994794561,-122.48209291576292"
nCGI2VDfulFckZnLm4Ctr4lRQbUYOnhd_PNvjXuEO7qBp_By1vGGvA==,3018.246,820.347,14.0,37.77047,-122.40472,"37.77047,-122.40472"
4ezOE9YRS1xV56o4BEddnjkUNCofgmb9PNU0GjUnHoRNIR9KD5DOQg==,2180.348,737.884,12.0,37.7947758,-122.3921851,"37.7947758,-122.3921851"
bokHCnY37SpYFFXcHJDzUJ-PTOV0OoFfsVJmshDpqJ4qDRlygh5Mtw==,2625.689,708.883,12.0,37.775830550017254,-122.4226361,"37.775830550017254,-122.4226361"
gIvvTpNHgVS23D9iL2eiRuO_JOjb0xnNcFmyE6zJ0i29HwK-t4ehVg==,5775.408,1502.755,25.0,37.75130269094932,-122.433258,"37.75130269094932,-122.433258"
XBfIXe2-fBizUW-e9emqCt31PfI6HvzcMxg68ScN8Nk0_iEdR24lLA==,653.164,227.575,4.0,37.78785129168795,-122.41323060347364,"37.78785129168795,-122.41323060347364"
MicIq4L3XuSp_FvwQ7lIR2iK03xNnaDqwtPHdQMN3OVpQLNgiBuMsw==,2435.614,701.13,12.0,37.798588,-122.396639,"37.798588,-122.396639"
gJRN96JsDtHagxBCCR_J4cevb415dENNFw4zpZxhQdEarcrlZUBckQ==,4030.086,1069.547,18.0,37.76718,-122.42873,"37.76718,-122.42873"
HIor-PyrnOVX6UcuUR3DRT1yrsiIjYR8lLC723q6-eVEMeQcyjOtWQ==,2451.761,645.737,11.0,37.78569,-122.43294,"37.78569,-122.43294"
bum1thpr6XXVLURjLFAhPy43rWhCvBSs1w9lxgabFl_ysZIEY8amDw==,4742.986,1251.251,21.0,37.761014,-122.435911,"37.761014,-122.435911"
PkZZpPk5-_6-KuG8Qwy4Va9Ar38TK-l0jtuF3wW54Cw0W8bUSLpGZA==,2748.707,821.343,14.0,37.772539,-122.416598,"37.772539,-122.416598"
aCAFH998h4qr16NZ80yw4VRnW6a71BclhZHsOiUdUYtMLqxi5nOYuQ==,4469.662,1211.815,20.0,37.75905786317478,-122.41007113900255,"37.75905786317478,-122.41007113900255"
jIsh4NJvIXgkmO96yCHIBVETWqashOpCtxU7c0q_Z260f6HA81tfeA==,3166.96,859.177,14.0,37.769675768063806,-122.40351925075042,"37.769675768063806,-122.40351925075042"
iaSvsZI04eHGj7Zg59ouvohTgJh6_kGMPLzjtX9t3Ag7HsIzbAoQCQ==,4563.842,979.499,16.0,37.77384,-122.44583,"37.77384,-122.44583"
R8AqQ-fJtBw5vefI_NKzQZwBQ2VFNCo6qsuiuXpb_FQNelyusVGZ7g==,9239.547,1809.401,30.0,37.741091,-122.465071,"37.741091,-122.465071"
x24VQgHscTSB5BLILvXEGr2ws2g6GfMhve-FYvydbArKuIg9rRkGNQ==,2489.247,685.597,11.0,37.776988,-122.423164,"37.776988,-122.423164"
faoPFi4jVs7MXpWZe9DM4bXnn2KgWaTbnltoo6OXShYpCtQvqR5MWg==,2595.886,688.234,11.0,37.78567,-122.435087,"37.78567,-122.435087"
e-zis-KPTvnKJP-Up4I0_W4cfUIjSkqUgw1Foe1OdhIHsUu1Pi4cfg==,5047.466,984.123,16.0,37.782815,-122.461671,"37.782815,-122.461671"
l7ZM7mE9Tygs-IhMsnRauhkb5H-Qx02ZuBtAArGONoW-Q6kOfTtU4A==,5739.12,1437.342,24.0,37.7513197,-122.4315852,"37.7513197,-122.4315852"
2kFpubiWI-0kDBtXC9TlB7ZzwYP3TTwvkg2Rd0ZQFEUJY5I5tSRgRw==,6950.926,1303.84,22.0,37.78025038749841,-122.4777186852402,"37.78025038749841,-122.4777186852402"
waIK7zeDvZxqVWI24V6_WPNEsVmMoWYpZg6BAWZYD_spQw4z39kAKA==,2232.918,609.123,10.0,37.78522,-122.43157,"37.78522,-122.43157"
nYnCi9Glr3Vu228Lzm8zLOerekUjBXSyhyu7PV8uEGXw4kW2Dxq2xQ==,5501.433,1046.724,17.0,37.78305,-122.46684,"37.78305,-122.46684"
jKNSNu02xd-zR6OBs07NPp1SCzgt7KDwjeO8h3ZQOpkmRAu0BMn6PA==,3152.028,677.622,11.0,37.783969,-122.441505,"37.783969,-122.441505"
OUt5j-203IOYi4bg0WPQuGPlXzoCIu0No9IonEG0FJi5qj8ozNpRCg==,1930.675,572.775,10.0,37.796996,-122.399661,"37.796996,-122.399661"
