,Name,Business_ID,Latitude,Longitude,Address,Rating,Review_count,Price,Categories,Transactions,ZIP,Pickup,Delivery,Restaurant_Reservation
61,C.Q. Noodles,EQpVnmoC_itgVQaaAYKNtg,37.78219994794561,-122.48209291576292,"2121 Clement St, San Francisco, CA 94121",4.4,217,$$,"('Chinese, Noodles, Soup',)","['restaurant_reservation', 'delivery', 'pickup']",94121,True,True,True
62,Oodle Yunnan Rice Noodle,dJv1oV2y0Vzc0-Nk9Rs63w,37.77600463025901,-122.49563498834335,"3420 Balboa St, San Francisco, CA 94121",4.6,183,$$,"('Chinese, Noodles, Soup',)","['pickup', 'delivery']",94121,True,True,False
63,Dumpling Home,kvrQecqdGvnuVICMstZJmA,37.775830550017254,-122.4226361,"298 Gough St, San Francisco, CA 94102",4.5,1668,$$,"('Dim Sum, Noodles, Asian Fusion',)","['delivery', 'pickup']",94102,True,True,False
64,Original Joe's,GtKxIGU6LJu14UErdNulmQ,37.80021,-122.40945,"601 Union St, San Francisco, CA 94133",4.1,2225,$$$,"('Italian, Steakhouses, Breakfast & Brunch',)","['pickup', 'delivery']",94133,True,True,False
65,Pasta Panino,GUMD4UYvQ01RLcvQP74A-g,37.761014,-122.435911,"4150 18th St, San Francisco, CA 94114",4.5,109,$$,"('Italian, Pasta Shops, Sandwiches',)","['pickup', 'delivery']",94114,True,True,False
66,Nara Restaurant & Sake Bar,cL0q9S4bqwpbAN9ZKh-Zeg,37.77216,-122.43086,"518 Haight St, San Francisco, CA 94117",4.6,2094,$$,"('Japanese, Sushi Bars',)","['delivery', 'pickup']",94117,True,True,False
67,STOA,AJMs_qSXFOIKgu7xQsLMsA,37.77154,-122.43386,"701 Haight St, San Francisco, CA 94117",4.4,33,N/A,"('Cocktail Bars, Tapas/Small Plates',)",[],94117,False,False,False
68,NOVY Restaurant,_znCP80YosgWCZu-xkqk5w,37.75153,-122.43212,"4000 24th St, San Francisco, CA 94114",4.1,590,$$,"('Mediterranean, Greek, Breakfast & Brunch',)","['pickup', 'delivery']",94114,True,True,False
69,Surisan,i09UMzccKgyLwGYKDVP28w,37.80678,-122.41756,"505 Beach St, San Francisco, CA 94133",4.3,3703,$$,"('Korean, New American, Breakfast & Brunch',)","['restaurant_reservation', 'delivery', 'pickup']",94133,True,True,True
70,Abrazo,zkVm2lMNdKWfbE4Uo1tMeA,37.7994,-122.41888,"2000 Hyde St, San Francisco, CA 94109",4.5,212,$$$,"('Spanish, New American, Seafood',)","['restaurant_reservation', 'delivery']",94109,False,True,True
71,Yakitori Edomasa,9w8ghr8PrAyMj75fEOsElA,37.78522,-122.43157,"1581 Webster St, Ste 270, San Francisco, CA 94115",4.1,185,$$$,"('Japanese',)","['restaurant_reservation', 'delivery', 'pickup']",94115,True,True,True
72,Coqueta,xv8dq_jBNfQkHeX2wJGlAg,37.798588,-122.396639,"The Embarcadero, Pier 5, San Francisco, CA 94111",4.0,2628,$$$,"('Spanish, Tapas/Small Plates',)","['pickup', 'delivery']",94111,True,True,False
73,The Morris,KqGOvG1m5jgDL-pKGXEoNQ,37.762967,-122.40856,"2501 Mariposa St, San Francisco, CA 94110",4.5,426,$$$,"('New American, Cocktail Bars, Desserts',)",['delivery'],94110,False,True,False
74,Fish In The Box,A_2m0mcKEqOJ1XsqUbzUIg,37.77384,-122.44583,"800 Masonic Ave, San Francisco, CA 94117",4.6,363,$$,"('Poke, Sushi Bars, Seafood',)","['pickup', 'delivery']",94117,True,True,False
75,Hog Island Oyster,Xg-FyjVKAN70LO4u4Z1ozg,37.7947758,-122.3921851,"1 Ferry Bldg, Ste 11, San Francisco, CA 94111",4.4,7291,$$,"('Seafood, Seafood Markets, Cocktail Bars',)",['pickup'],94111,True,False,False
76,Kokkari Estiatorio,PsY5DMHxa5iNX_nX0T-qPA,37.796996,-122.399661,"200 Jackson St, San Francisco, CA 94111",4.4,5317,$$$,"('Greek, Mediterranean',)","['pickup', 'delivery']",94111,True,True,False
77,Copra,dLkFqri9JEM3CoeMjAah6w,37.78538352838357,-122.4327894,"1700 Fillmore St, San Francisco, CA 94115",4.1,529,$$$,"('Indian',)",[],94115,False,False,False
78,The Richmond,1KbZaqEdZkn6LHlA55M64g,37.77702,-122.46534,"615 Balboa St, San Francisco, CA 94118",4.5,783,$$$,"('New American',)",['pickup'],94118,True,False,False
79,Fermentation Lab,kLxPWEH56lLeXoNFJyS8HA,37.78575,-122.4301,"1700A Post St, San Francisco, CA 94115",4.5,117,$$,"('Cocktail Bars, Seafood, Asian Fusion',)",[],94115,False,False,False
80,Dumpling Kitchen,q7PEtlrwVwHrQv0M6Mzwvw,37.7601664062955,-122.4351906,"544 Castro St, San Francisco, CA 94114",4.3,138,$$,"('Dim Sum, Noodles',)","['delivery', 'pickup']",94114,True,True,False
81,Trestle,jcFf2ZnJYL0nWCdIpqiA-g,37.79619567013229,-122.40454157055215,"531 Jackson St, San Francisco, CA 94133",4.4,1219,$$$,"('New American, Desserts',)",[],94133,False,False,False
82,Barcha,5D--FJXQHdC3kZWYm2GREg,37.7909966558218,-122.397482693195,"28 Fremont St, San Francisco, CA 94105",4.1,828,$$$,"('Mediterranean, Tapas/Small Plates, Cocktail Bars',)","['delivery', 'pickup']",94105,True,True,False
83,Limoncello,2hGIxgprREdBieylltWaRQ,37.7873184067081,-122.423591369312,"1400 Sutter St, San Francisco, CA 94109",4.8,1786,$$,"('Sandwiches, Delis, Beer, Wine & Spirits',)","['delivery', 'pickup']",94109,True,True,False
84,Savor,6YuJE0vjUpIzYckRMnzy0g,37.764084,-122.46228,"401 Irving St, San Francisco, CA 94122",4.7,238,$$,"('Mediterranean, Vegetarian, Tapas/Small Plates',)","['delivery', 'restaurant_reservation', 'pickup']",94122,True,True,True
85,The Patio,VBWSJA_ljUoqB0voZFbJFQ,37.79976,-122.44082,"3232 Scott St, San Francisco, CA 94123",4.6,179,N/A,"('Wine Bars, New American, Venues & Event Spaces',)","['delivery', 'pickup']",94123,True,True,False
86,Um Ma,9Z9EETl8fZIP4s9KOHr5kg,37.765498241972274,-122.4661957,"1220 9th Ave, San Francisco, CA 94122",3.8,796,$$,"('Korean, Wine Bars, Chicken Wings',)","['delivery', 'pickup']",94122,True,True,False
87,Suppenküche,DGyoVB9PdI9_jw0CNi_OPg,37.7762603759766,-122.426391601562,"525 Laguna St, San Francisco, CA 94102",4.1,3374,$$,"('German, Pretzels, Beer, Wine & Spirits',)","['delivery', 'restaurant_reservation', 'pickup']",94102,True,True,True
88,ILCHA,0lMmP2cPqVNi0EvlKIct_g,37.79948,-122.43681,"2151 Lombard St, San Francisco, CA 94123",4.4,329,$$$,"('Korean, Bars',)",[],94123,False,False,False
89,Bella Trattoria,msT3LrLB4fhN04HYHuFsew,37.78136,-122.46092107729817,"3854 Geary Blvd, San Francisco, CA 94118",4.3,1973,$$,"('Italian, Bars, Pasta Shops',)","['delivery', 'pickup']",94118,True,True,False
90,Unco Frank’s,RmiAHDQ9z-qzvA7gcLsUZQ,37.78284885844072,-122.46411696680588,"443 Clement St, San Francisco, CA 94118",4.5,101,$$,"('Hawaiian',)","['delivery', 'pickup']",94118,True,True,False
91,SHOWA Le Gourmet Tonkatsu,8ZVt-g6OROC5Mh_cPWsOqw,37.772539,-122.416598,"1550 Howard St, San Francisco, CA 94103",5.0,30,N/A,"('Japanese',)",[],94103,False,False,False
92,Bansang,_AJd_AyHNYLNiifvLhEDNg,37.78406,-122.43256,"1560 Fillmore St, San Francisco, CA 94115",4.2,473,N/A,"('Korean, Tapas/Small Plates, Asian Fusion',)",[],94115,False,False,False
93,Todo El Dia,Xw2MYma2rl05i7udCHFmEQ,37.75130269094932,-122.433258,"4063 24th St, San Francisco, CA 94114",4.4,26,$$,"('Mexican, Juice Bars & Smoothies, Breakfast & Brunch',)",[],94114,False,False,False
94,Cafe Okawari,Jpxv-URBpIvcu0mE5B6S3g,37.77826,-122.39388,"236 Townsend St, San Francisco, CA 94107",4.5,433,$$,"('Japanese, Cafes',)","['delivery', 'pickup']",94107,True,True,False
95,Lapisara Eatery,0mNzmmh1mrdh5Cpg2QUBiw,37.78785129168795,-122.41323060347364,"698 Post St, San Francisco, CA 94109",4.6,1712,$$,"('Breakfast & Brunch, Burgers, Thai',)","['delivery', 'restaurant_reservation', 'pickup']",94109,True,True,True
96,New Burma,TJZLyTUqtwgsXS439U641w,37.77039,-122.40269,"659 Townsend St, San Francisco, CA 94107",4.5,129,$$,"('Burmese, Vegetarian',)","['delivery', 'pickup']",94107,True,True,False
97,Moku Yakitori-Ya,ya-X-WMp0AJg_o0DccJ1VQ,37.78256890000001,-122.4664414,"312 8th Ave, San Francisco, CA 94118",4.3,142,$$,"('Izakaya, Tapas/Small Plates',)",[],94118,False,False,False
98,Cotogna,HVJdo4f_6MxkM_1aCAK3NA,37.7975,-122.40336,"490 Pacific Ave, San Francisco, CA 94133",4.1,2078,$$$,"('Italian',)",['delivery'],94133,False,True,False
99,opa cafe,OVLexCW4wdYDUc_Oc4NfVw,37.783969,-122.441505,"2401 Post St, San Francisco, CA 94115",4.6,585,$$,"('Mediterranean, Sandwiches, Salad',)","['delivery', 'pickup']",94115,True,True,False
100,Nari,IOQE1WdjzYs4PL5YSOh6xg,37.785429928840266,-122.428277,"1625 Post St, San Francisco, CA 94115",4.0,505,$$$,"('Thai, Wine Bars, Cocktail Bars',)",['delivery'],94115,False,True,False
101,Hulu Wa China Bistro,2aW4J6wnsJ2vgcYLRoo5og,37.762933,-122.434141,"3970 17th St, San Francisco, CA 94114",4.8,36,$$,"('Chinese, Noodles',)","['delivery', 'pickup']",94114,True,True,False
102,Mezze and Mooore,6Ua1XlsCWR9eBXBLOM-kMw,37.76815246219715,-122.424627,"198 Guerrero St, San Francisco, CA 94103",4.7,219,$$,"('Mediterranean, Lebanese',)","['delivery', 'pickup']",94103,True,True,False
103,Birdsong,XVPiXV_TPivnr9szB5kc-A,37.7793175,-122.4105235,"1085 Mission St, San Francisco, CA 94103",4.4,443,$$$$,"('New American',)",[],94103,False,False,False
104,Burma Love - Downtown,Hq5ZJEcEViFYMy3vfN8WTA,37.782909,-122.40786,"8 Mint Plz, San Francisco, CA 94103",4.2,542,$$,"('Burmese, Cocktail Bars, Seafood',)",['delivery'],94103,False,True,False
105,Chez Maman West,9hUYiiyPe0QOu8Oezq_yqQ,37.776988,-122.423164,"401 Gough St, San Francisco, CA 94102",4.1,1615,$$,"('French, Burgers',)","['delivery', 'pickup']",94102,True,True,False
106,Rise Over Run,9AeBzGI0OOXfM4StDpwwGQ,37.783213,-122.409648,"33 Turk St, San Francisco, CA 94102",4.1,156,N/A,"('New American, Cocktail Bars, Breakfast & Brunch',)",[],94102,False,False,False
107,Okaeri Japanese Bistro,l69Z6OMNKxrwA69IubLS5g,37.758432,-122.419574,"3515 20th St, San Francisco, CA 94110",4.4,342,$$,"('Sushi Bars, Japanese',)",[],94110,False,False,False
108,State Bird Provisions,QZQGRJZ4bZCmNoXjs3z1XQ,37.78374,-122.433005,"1529 Fillmore St, San Francisco, CA 94115",4.2,3336,$$$$,"('Tapas/Small Plates, New American, Desserts',)",['delivery'],94115,False,True,False
109,California Fish Market Restaurant,oa6ZaLdQNzZHP7--gxBh2g,37.7998,-122.40832,"550 Green St, San Francisco, CA 94133",4.4,703,$$,"('Seafood, Fish & Chips, Italian',)","['delivery', 'restaurant_reservation', 'pickup']",94133,True,True,True
110,Chez Maman East,UTVDbZv-qiHU06sDkoel3g,37.762463,-122.396712,"1401 18th St, San Francisco, CA 94107",4.4,2473,$$,"('French, Burgers, Creperies',)","['delivery', 'pickup']",94107,True,True,False
111,Sikdang Woori,WYPTIId3GSr-TZuuIsSEYw,37.783566,-122.432434,"1506 Fillmore St, San Francisco, CA 94115",4.5,63,N/A,"('Korean',)",[],94115,False,False,False
112,The Public Izakaya,4jqo3BvBEiNrvLKJW41Qbg,37.78783646253088,-122.413599,"700 Post St, San Francisco, CA 94109",4.3,503,$$,"('Izakaya, Sushi Bars, Ramen',)",[],94109,False,False,False
113,Mamahuhu,8MmM55oRyNsPX6J01NsDkA,37.7513197,-122.4315852,"3991 24th St, San Francisco, CA 94114",4.0,127,N/A,"('Asian Fusion',)",[],94114,False,False,False
114,Lark,LjVlsV9tKGnv7e4Iyt9c5Q,37.761243,-122.434248,"4068 18th St, San Francisco, CA 94114",4.1,357,$$,"('Mediterranean, Greek, Cocktail Bars',)",['delivery'],94114,False,True,False
115,The Laundromat,SUdC4LIL3huirbbBkHrhfw,37.77542873995666,-122.49884228441336,"3725 Balboa St, San Francisco, CA 94121",4.5,374,$$,"('Pizza, Bagels, Beer Bar',)",[],94121,False,False,False
116,Shelby's Rooftop Lounge,6N3nfRgvfspLCRRBOxefZw,37.7823865830739,-122.40209709852932,"250 4th St, San Francisco, CA 94103",4.2,224,$$$,"('Lounges, New American',)",[],94103,False,False,False
117,The Parthenon,yyxm5EW2ZYws27_TdutOJQ,37.78927924982757,-122.4099596,"582 Sutter St, San Francisco, CA 94102",5.0,15,N/A,"('Greek, Mediterranean, Turkish',)","['delivery', 'pickup']",94102,True,True,False
118,Dumpling House,XAYwAF_83becwNnSJDFkpA,37.763552,-122.432762,"335 Noe St, San Francisco, CA 94114",4.3,525,$$,"('Dim Sum, Asian Fusion',)","['delivery', 'pickup']",94114,True,True,False
119,Dabao Singapore,XFUQWh46_gISC4jMHlCNmw,37.750911,-122.388126,"1661 Tennessee St, Ste 2k, San Francisco, CA 94107",4.8,87,N/A,"('Singaporean, Desserts, Caterers',)",[],94107,False,False,False
